# ChatYX voice catalog
# Static provider catalog. Update from the source links in documents/TTS_VOICES.md.

[ChatIS / Streamlabs]
+-----------+-------------------------+--------+------------+
| Voice     | Locale                  | Gender | Features   |
+-----------+-------------------------+--------+------------+
| Zeina     | Arabic                  | N/A    | Streamlabs |
| Hala      | Arabic( Gulf)           | N/A    | Streamlabs |
| Zayd      | Arabic( Gulf)           | N/A    | Streamlabs |
| Arlet     | Catalan                 | N/A    | Streamlabs |
| Hiujin    | Chinese( Cantonese)     | N/A    | Streamlabs |
| Zhiyu     | Chinese( Mandarin)      | N/A    | Streamlabs |
| Jitka     | Czech                   | N/A    | Streamlabs |
| Naja      | Danish                  | N/A    | Streamlabs |
| Mads      | Danish                  | N/A    | Streamlabs |
| Sofie     | Danish                  | N/A    | Streamlabs |
| Ruben     | Dutch                   | N/A    | Streamlabs |
| Lotte     | Dutch                   | N/A    | Streamlabs |
| Laura     | Dutch                   | N/A    | Streamlabs |
| Lisa      | Dutch( Belgian)         | N/A    | Streamlabs |
| Russell   | English( Australian)    | N/A    | Streamlabs |
| Nicole    | English( Australian)    | N/A    | Streamlabs |
| Olivia    | English( Australian)    | N/A    | Streamlabs |
| Emma      | English( British)       | N/A    | Streamlabs |
| Brian     | English( British)       | N/A    | Streamlabs |
| Amy       | English( British)       | N/A    | Streamlabs |
| Arthur    | English( British)       | N/A    | Streamlabs |
| Raveena   | English( Indian)        | N/A    | Streamlabs |
| Aditi     | English( Indian)        | N/A    | Streamlabs |
| Kajal     | English( Indian)        | N/A    | Streamlabs |
| Niamh     | English( Ireland)       | N/A    | Streamlabs |
| Aria      | English( New Zealand)   | N/A    | Streamlabs |
| Ayanda    | English( South African) | N/A    | Streamlabs |
| Danielle  | English( U S)           | N/A    | Streamlabs |
| Gregory   | English( U S)           | N/A    | Streamlabs |
| Joanna    | English( U S)           | N/A    | Streamlabs |
| Ruth      | English( U S)           | N/A    | Streamlabs |
| Kevin     | English( U S)           | N/A    | Streamlabs |
| Salli     | English( U S)           | N/A    | Streamlabs |
| Matthew   | English( U S)           | N/A    | Streamlabs |
| Kimberly  | English( U S)           | N/A    | Streamlabs |
| Kendra    | English( U S)           | N/A    | Streamlabs |
| Justin    | English( U S)           | N/A    | Streamlabs |
| Joey      | English( U S)           | N/A    | Streamlabs |
| Ivy       | English( U S)           | N/A    | Streamlabs |
| Stephen   | English( U S)           | N/A    | Streamlabs |
| Geraint   | English( Welsh)         | N/A    | Streamlabs |
| Suvi      | Finnish                 | N/A    | Streamlabs |
| Mathieu   | French                  | N/A    | Streamlabs |
| Lea       | French                  | N/A    | Streamlabs |
| Celine    | French                  | N/A    | Streamlabs |
| Remi      | French                  | N/A    | Streamlabs |
| Isabelle  | French( Belgian)        | N/A    | Streamlabs |
| Chantal   | French( Canadian)       | N/A    | Streamlabs |
| Gabrielle | French( Canadian)       | N/A    | Streamlabs |
| Liam      | French( Canadian)       | N/A    | Streamlabs |
| Vicki     | German                  | N/A    | Streamlabs |
| Marlene   | German                  | N/A    | Streamlabs |
| Hans      | German                  | N/A    | Streamlabs |
| Daniel    | German                  | N/A    | Streamlabs |
| Hannah    | German( Austrian)       | N/A    | Streamlabs |
| Karl      | Icelandic               | N/A    | Streamlabs |
| Dora      | Icelandic               | N/A    | Streamlabs |
| Bianca    | Italian                 | N/A    | Streamlabs |
| Giorgio   | Italian                 | N/A    | Streamlabs |
| Carla     | Italian                 | N/A    | Streamlabs |
| Adriano   | Italian                 | N/A    | Streamlabs |
| Kazuha    | Japanese                | N/A    | Streamlabs |
| Tomoko    | Japanese                | N/A    | Streamlabs |
| Takumi    | Japanese                | N/A    | Streamlabs |
| Mizuki    | Japanese                | N/A    | Streamlabs |
| Seoyeon   | Korean                  | N/A    | Streamlabs |
| Ida       | Norwegian               | N/A    | Streamlabs |
| Liv       | Norwegian               | N/A    | Streamlabs |
| Maja      | Polish                  | N/A    | Streamlabs |
| Jan       | Polish                  | N/A    | Streamlabs |
| Jacek     | Polish                  | N/A    | Streamlabs |
| Ewa       | Polish                  | N/A    | Streamlabs |
| Ola       | Polish                  | N/A    | Streamlabs |
| Vitoria   | Portuguese( Brazilian)  | N/A    | Streamlabs |
| Ricardo   | Portuguese( Brazilian)  | N/A    | Streamlabs |
| Camila    | Portuguese( Brazilian)  | N/A    | Streamlabs |
| Thiago    | Portuguese( Brazilian)  | N/A    | Streamlabs |
| Ines      | Portuguese( European)   | N/A    | Streamlabs |
| Cristiano | Portuguese( European)   | N/A    | Streamlabs |
| Carmen    | Romanian                | N/A    | Streamlabs |
| Tatyana   | Russian                 | N/A    | Streamlabs |
| Maxim     | Russian                 | N/A    | Streamlabs |
| Lucia     | Spanish( European)      | N/A    | Streamlabs |
| Enrique   | Spanish( European)      | N/A    | Streamlabs |
| Conchita  | Spanish( European)      | N/A    | Streamlabs |
| Sergio    | Spanish( European)      | N/A    | Streamlabs |
| Mia       | Spanish( Mexican)       | N/A    | Streamlabs |
| Andres    | Spanish( Mexican)       | N/A    | Streamlabs |
| Lupe      | Spanish( U S)           | N/A    | Streamlabs |
| Penelope  | Spanish( U S)           | N/A    | Streamlabs |
| Miguel    | Spanish( U S)           | N/A    | Streamlabs |
| Pedro     | Spanish( U S)           | N/A    | Streamlabs |
| Elin      | Swedish                 | N/A    | Streamlabs |
